alpha,coord0,coord1,coord2,coord3,coord4,coord5,coord6,coord7,coord8,coord9,coord10,time
0.264478,"(0.0, 0.0)","(0.05098061212009601, -0.0006636321570207441)","(0.10488155087673148, -0.002757887878816241)","(0.16223892079039953, -0.006471531947798746)","(0.22379376500429468, -0.012056381530322938)","(0.2906191597601692, -0.019864519767570622)","(0.3643706769460721, -0.030420581385497393)","(0.44784824604715473, -0.04458151879906233)","(0.5465336987684012, -0.06396706251933995)","(0.6746304967718274, -0.09262217357069359)","(0.9822772171606824, -0.17099479517112018)",0.007153000100515783
0.2704775,"(0.0, 0.0)","(0.05096577064480666, -0.0006777573981553321)","(0.10485103960440123, -0.002816625571618438)","(0.16219037308703205, -0.006609434401317132)","(0.22372290433874698, -0.01231339659032243)","(0.29051922737512575, -0.020288111380743438)","(0.36423147633173997, -0.031069385787692264)","(0.4476543547436265, -0.045532396359419414)","(0.5462604737195564, -0.06533130230410118)","(0.6742316998872442, -0.09459705875364789)","(0.9815057108836222, -0.1746382145713094)",0.006607200019061565
0.276477,"(0.0, 0.0)","(0.05095064565958168, -0.0006918247457623764)","(0.10481994669301728, -0.002875124924211352)","(0.1621409043162757, -0.006746781992517798)","(0.22365070859386746, -0.012569384540205336)","(0.2904174278900058, -0.02071001880105171)","(0.3640896982669931, -0.031715619087498856)","(0.4474569054094133, -0.04647951109819165)","(0.5459822774281721, -0.06669013995802832)","(0.6738257051550891, -0.09656409901866621)","(0.9807204207571805, -0.17826702194086455)",0.007277400000020862
0.28247649999999996,"(0.0, 0.0)","(0.05093524005533711, -0.000705833382591375)","(0.10478827814980446, -0.0029333825677707007)","(0.16209052427497747, -0.006883566875298655)","(0.22357719257689834, -0.01282433086299613)","(0.290313783045424, -0.02113021825952163)","(0.36394537431092616, -0.032359245091937654)","(0.4472559437575846, -0.04742281024717)","(0.545699176640115, -0.06804350012053455)","(0.6734126131644611, -0.09852318571816107)","(0.9799215490092494, -0.18188101781285776)",0.006273100036196411
0.288476,"(0.0, 0.0)","(0.05091955674825751, -0.0007197825160324704)","(0.10475604003384298, -0.0029913952347005494)","(0.16203924284262472, -0.0070197814390192455)","(0.2235023712162809, -0.013078221477811862)","(0.2902083147541365, -0.02154868670370244)","(0.36379853626441316, -0.03300022870588636)","(0.4470515158407796, -0.0483622426536985)","(0.5454112385832317, -0.06939130976815275)","(0.6729925252117228, -0.10047421363423097)","(0.9791092992395735, -0.18548000924081526)",0.006623000022955239
0.2944755,"(0.0, 0.0)","(0.05090359867816474, -0.0007336713781094048)","(0.1047232384526505, -0.003049159758606142)","(0.16198706997567464, -0.007155418308436154)","(0.2234262595528811, -0.013331042739729406)","(0.29010104508782636, -0.02196540179740854)","(0.3636492161504461, -0.03363853593159517)","(0.4468436680220865, -0.04929775877978578)","(0.5451185309239898, -0.0707334982129282)","(0.6725655432340016, -0.10241708097570236)","(0.9782838762831225, -0.18906380979180828)",0.006682200008071959
0.300475,"(0.0, 0.0)","(0.05088736880637344, -0.0007474992254290309)","(0.10468987955771275, -0.0031066730740872)","(0.1619340157002622, -0.007290470343218848)","(0.2233488727289994, -0.013582781438872699)","(0.28999199626104677, -0.022380341919177146)","(0.36349744619097335, -0.034274133866232556)","(0.4466324469417202, -0.05022931069832051)","(0.5448211217191505, -0.07206999709663264)","(0.672131769736825, -0.10435168936906994)","(0.9774454860657299, -0.1926322395257287)",0.006884100032038987
0.3064745,"(0.0, 0.0)","(0.05087087011427483, -0.0007612653391395576)","(0.10465596954151084, -0.003163932216568593)","(0.16188009010723114, -0.007424930637555016)","(0.22327022598059224, -0.013833424799668995)","(0.28988119061935236, -0.022793486161005513)","(0.3633432587890162, -0.03490699069985707)","(0.4464178994902321, -0.05115685208990226)","(0.54451907937548, -0.07340074038583842)","(0.6716913077317889, -0.10627794385063004)","(0.9765943354746991, -0.19618512498118026)",0.006267499993555248
0.312474,"(0.0, 0.0)","(0.0508541056016099, -0.0007749690248555276)","(0.10462151463391337, -0.003220934321993733)","(0.16182530334618764, -0.00755879251943546)","(0.2231903346281669, -0.014082960479509752)","(0.28976865062574564, -0.02320481432610813)","(0.3631866865087343, -0.035537075711886384)","(0.44620007277929524, -0.05208033823746139)","(0.5442124726066592, -0.07472566436379904)","(0.6712442606710284, -0.10819575285394309)","(0.975730632225545, -0.1997222991462477)",0.006799699971452355
0.31847349999999996,"(0.0, 0.0)","(0.05083707828434042, -0.0007886096125440982)","(0.10458652109774402, -0.003277676626358044)","(0.16176966561828934, -0.0076920495495651905)","(0.22310921406595313, -0.014331376566716987)","(0.28965439884492405, -0.02361430692553037)","(0.3630277620528056, -0.03616435926581302)","(0.44597901410930363, -0.05299972601830153)","(0.5439013703864821, -0.0760447076186122)","(0.6707907323774074, -0.1101050281918678)","(0.9748545847234302, -0.2032436014248491)",0.008368400041945279
